,D1,D2,D3,D4,A5,A6,A7,A8,A9,A10,+11,R12,R13,R14,H15,H16,H17,H18,H19,H20,H21,H22,H23,H24,H25,H26,H27,H28,L29,L30
H21,9.510951438344662,12.168879407278833,2.4736871602652823,4.853601788145787,3.5175708041832623,5.528184041112751,12.168879407278833,4.253306392639628,6.641620934009144,6.924650614942794,9.510951438344662,4.335513976634727,1.3952499322743486,8.42722579766097,5.466459097789926,4.355548233695664,2.4247705713996264,2.7930111809014697,2.423531629022333,1.400725873633242,0.0,7.472604350307445,7.457281969785271,8.51966692057924,9.48508113546824,9.505283046959509,8.574916260554522,9.041986816487867,1.3952499322743486,8.42722579766097
H22,8.172676645223792,9.909626138491534,6.827626744163407,2.683830556958571,8.432317107584993,8.526979661636341,9.909626138491534,4.615102246130896,2.646035475875322,2.5955915613116427,8.172676645223792,7.762476180639182,6.258703798292811,1.3983880573157825,10.384499723014768,6.52544386359893,5.102231826119086,5.14730657057472,6.441359312329539,7.488216506547234,7.472604350307445,0.0,1.410192096038202,2.4336458423191023,2.7948045784656075,2.409756067398854,1.4060404440219707,2.570294271639981,6.258703798292811,1.3983880573157825
H23,9.500165588743625,11.302901514475295,7.179259123579291,3.002076018494458,8.977946687589847,9.381063444516114,11.302901514475295,5.019949002455032,3.8762664544098775,3.174415691069601,9.500165588743625,8.494246130127987,6.136302640418473,1.393030313922297,11.035972363305595,7.310651554506218,5.127901969475192,4.862338441135931,6.073227366501629,7.264190884015145,7.457281969785271,1.410192096038202,0.0,1.3928962972630792,2.405567985575928,2.7793369631731095,2.4446008159209534,3.8509627689819683,6.136302640418473,1.393030313922297
H24,10.509794806758233,12.222281312585164,8.46207801375607,4.303094212756207,10.203376028276457,10.561611890561704,12.222281312585164,6.394338921893861,5.048687105440712,4.479503864926265,10.509794806758233,9.724250620065577,7.154851391277505,1.4068188636677132,12.193409935873422,8.579137891673746,6.291547275425113,5.807032981178492,6.870224420814737,8.155980581580643,8.51966692057924,2.4336458423191023,1.3928962972630792,0.0,1.3911274388327803,2.416600678860046,2.8301934324406157,4.329384400856571,7.154851391277505,1.4068188636677132
H25,10.362418098077013,11.89967673584416,9.321546846201485,5.12162753106271,10.879509637415984,10.957777440243147,11.89967673584416,7.260061657129058,5.286573180106195,5.161220886995601,10.362418098077013,10.261895724292957,8.147401213811422,1.3964350566798163,12.726658982519227,9.114066344356162,7.259491542185049,6.836702291463441,7.890017325374178,9.15160460690082,9.48508113546824,2.7948045784656075,2.405567985575928,1.3911274388327803,0.0,1.3977655102468491,2.446764560456434,3.7948577290262375,8.147401213811422,1.3964350566798163
H26,9.174560425373489,10.597050643353686,9.061767356413613,4.946081712116073,10.445643675438417,10.250363171142762,10.597050643353686,6.990663831148844,4.471095831930403,4.8242780889794945,9.174560425373489,9.677556059981502,8.24693212433857,1.3863437363061786,12.180316729137495,8.508651138331473,7.2475825413202335,7.047480460216321,8.182804698075177,9.33786951868246,9.505283046959509,2.409756067398854,2.7793369631731095,2.416600678860046,1.3977655102468491,0.0,1.406944830529082,2.49116051617424,8.24693212433857,1.3863437363061786
H27,7.974998903190351,9.495910584505657,7.880398224813598,3.8820856616912,9.249193409675863,9.018571636269,9.495910584505657,5.767109015273271,3.082460886505263,3.6574012704169307,7.974998903190351,8.434080317353802,7.392796042700383,1.4233776008732613,11.014010633745048,7.221816268660909,6.275680752868427,6.308303486810292,7.542091146096257,8.5824212477701,8.574916260554522,1.4060404440219707,2.4446008159209534,2.8301934324406157,2.446764560456434,1.406944830529082,0.0,1.5011025273387426,7.392796042700383,1.4233776008732613
H28,6.775706001243278,8.11463190865824,8.054152655911569,4.514310625493816,9.142223379882356,8.542618339183452,8.11463190865824,6.0632341999206,2.8318128867062264,4.122497595975409,6.775706001243278,8.150003154207182,8.000591384040149,2.923094402993187,10.711357207840546,6.95543777657201,6.836404038845849,7.094249584924919,8.33016986644715,9.220822330712505,9.041986816487867,2.570294271639981,3.8509627689819683,4.329384400856571,3.7948577290262375,2.49116051617424,1.5011025273387426,0.0,8.000591384040149,2.923094402993187
L29,9.403651272713672,12.017127869693464,2.8582683033946976,3.728982861362074,4.370316489886232,6.04056518028329,12.017127869693464,3.670304506957655,5.784708982590698,5.950695657788389,9.403651272713672,4.840953649437876,0.0,7.133136354895116,6.432197823535077,4.49807530313224,1.4013630022965735,1.397815658049927,1.4063285490447004,1.39514071862763,1.3952499322743486,6.258703798292811,6.136302640418473,7.154851391277505,8.147401213811422,8.24693212433857,7.392796042700383,8.000591384040149,0.0,7.133136354895116
L30,9.227506944260544,10.86001376895983,8.05294363048315,3.8454358897011143,9.635576577022773,9.720817006204427,10.86001376895983,5.922427766410835,3.9408789279945133,3.8382996243748457,9.227506944260544,8.993437091374313,7.133136354895116,0.0,11.533812722729488,7.804629875136929,6.120326909082552,5.891911948965169,7.069840208693766,8.248175130008152,8.42722579766097,1.3983880573157825,1.393030313922297,1.4068188636677132,1.3964350566798163,1.3863437363061786,1.4233776008732613,2.923094402993187,7.133136354895116,0.0
